VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
references/actamerica/variables/C130/H2O_SatVaporPressureIce_Nav.json,H2O_SatVaporPressureIce_Nav,hPa,1,-999999,1,H2O_SatVaporPressureIce_Nav,hPa,1,-999999,NULL
references/actamerica/variables/C130/H2O_SatVaporPressureWater_Nav.json,H2O_SatVaporPressureWater,hPa,1,-999999,1,H2O_SatVaporPressureWater_Nav,hPa,1,-999999,NULL
references/actamerica/variables/C130/H2O_SatVaporPressureWater_Nav.json,H2O_SatVaporPressureWater_Nav,hPa,1,-999999,1,H2O_SatVaporPressureWater_Nav,hPa,1,-999999,NULL
references/actamerica/variables/C130/H2O_VaporPressure_Nav.json,H2O_VaporPressure,hPa,1,-999999,1,H2O_VaporPressure_Nav,hPa,1,-999999,NULL
references/actamerica/variables/C130/H2O_VaporPressure_Nav.json,H2O_VaporPressure_Nav,hPa,1,-999999,1,H2O_VaporPressure_Nav,hPa,1,-999999,NULL
references/actamerica/variables/C130/H2O_VaporPressure_Nav.json,H2O_VaporPressure_PICARRO,hPa,1,-999999,1,H2O_VaporPressure_PICARRO,hPa,1,-999999,NULL
references/actamerica/variables/C130/H2O_VolMixingRatio_PICARRO.json,H2O_VolMixingRatio_PICARRO,%,1,-999999,1,H2O_VolMixingRatio_PICARRO,%,1,-999999,NULL
references/actamerica/variables/C130/HDG.json,HDG,degs,1,-999999,1,HDG,degs,1,-999999,NULL
references/actamerica/variables/C130/HF133a_MoleFraction_PFP.json,HF133a_MoleFraction_PFP,ppt,1,-999999,1,HF133a_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/HF22_MoleFraction_PFP.json,HF22_MoleFraction_PFP,ppt,1,-999999,1,HF22_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/IAS.json,IAS,m/s,1,-999999,1,IAS,m/s,1,-999999,NULL
references/actamerica/variables/C130/iC4H10_MoleFraction_PFP.json,iC4H10_MoleFraction_PFP,ppt,1,-999999,1,iC4H10_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/iC5H12_MoleFraction_PFP.json,iC5H12_MoleFraction_PFP,ppt,1,-999999,1,iC5H12_MoleFraction_PFP,ppt,1,-999999,NULL
,INDEX,none,1,-999999,1,INDEX,none,1,-999999,NULL
references/actamerica/variables/C130/JDAY.json,JDAY,days,1,-999999,1,JDAY,days,1,-999999,NULL
references/actamerica/variables/C130/LATITUDE.json,LATITUDE,degs,1,-999999,1,LATITUDE,degs,1,-999999,NULL
references/actamerica/variables/C130/LOCAL_SUN_TIME.json,LOCAL_SUN_TIME,hour,1,-999999,1,LOCAL_SUN_TIME,hour,1,-999999,NULL
references/actamerica/variables/C130/LONGITUDE.json,LONGITUDE,degs,1,-999999,1,LONGITUDE,degs,1,-999999,NULL
references/actamerica/variables/C130/MachNumber.json,MachNumber,mach,1,-999999,1,MachNumber,mach,1,-999999,NULL
references/actamerica/variables/C130/ManeuverFlag.json,ManeuverFlag,none,1,-999999,1,ManeuverFlag,none,1,-999999,NULL
references/actamerica/variables/C130/MCFA_MoleFraction_PFP.json,MCFA_MoleFraction_PFP,ppt,1,-999999,1,MCFA_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/MEBR_MoleFraction_PFP.json,MEBR_MoleFraction_PFP,ppt,1,-999999,1,MEBR_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/MECL_MoleFraction_PFP.json,MECL_MoleFraction_PFP,ppt,1,-999999,1,MECL_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/MLH-AMSL_CPL.json,MLH_CPL,km,1,-999999,1,MLH_CPL,km,1,-999999,NULL
references/actamerica/variables/C130/MLH-AMSL_CPL.json,MLH-AMSL_CPL,km,1,-999999,1,MLH_CPL,km,1,-999999,NULL
references/actamerica/variables/C130/N2O_MoleFraction_PFP.json,N2O_MoleFraction_PFP,ppb,1,-999999,1,N2O_MoleFraction_PFP,ppb,1,-999999,NULL
references/actamerica/variables/C130/nC4H10_MoleFraction_PFP.json,nC4H10_MoleFraction_PFP,ppt,1,-999999,1,nC4H10_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/nC5H12_MoleFraction_PFP.json,nC5H12_MoleFraction_PFP,ppt,1,-999999,1,nC5H12_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/nC6H14_MoleFraction_PFP.json,nC6H14_MoleFraction_PFP,ppt,1,-999999,1,nC6H14_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/O3_MixingRatio.json,O3_MixingRatio,ppbv,1,-999999,1,O3_MixingRatio,ppbv,1,-999999,NULL
references/actamerica/variables/C130/O3_MoleFraction.json,O3_MoleFraction,ppb,1,-999999,1,O3_MoleFraction,ppb,1,-999999,NULL
references/actamerica/variables/C130/O3COLUMN.json,O3COLUMN,DU,1,-999999,1,O3COLUMN,DU,1,-999999,NULL
references/actamerica/variables/C130/OCS_MoleFraction_PFP.json,OCS_MoleFraction_PFP,ppt,1,-999999,1,OCS_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/P218_MoleFraction_PFP.json,P218_MoleFraction_PFP,ppt,1,-999999,1,P218_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/PCE_MoleFraction_PFP.json,PCE_MoleFraction_PFP,ppt,1,-999999,1,PCE_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/PITCH.json,PITCH,degs,1,-999999,1,PITCH,degs,1,-999999,NULL
references/actamerica/variables/C130/PotentialTemp_Nav.json,PotentialTemp,K,1,-999999,1,PotentialTemp_Nav,K,1,-999999,NULL
references/actamerica/variables/C130/PotentialTemp_Nav.json,PotentialTemp_Nav,K,1,-999999,1,PotentialTemp_Nav,K,1,-999999,NULL
references/actamerica/variables/C130/PRESSURE.json,PRESSURE,hPa,1,-999999,1,PRESSURE,hPa,1,-999999,NULL
references/actamerica/variables/C130/Altitude_Nav.json,Radar_ALT,km,1,-999999,1,Radar_ALT,km,1,-999999,NULL
references/actamerica/variables/C130/H2O_SatVaporPressureIce_Nav.json,RHi_PICARRO,%,1,-999999,1,RHi_PICARRO,%,1,-999999,NULL
references/actamerica/variables/C130/H2O_SatVaporPressureWater_Nav.json,RHw_PICARRO,%,1,-999999,1,RHw_PICARRO,%,1,-999999,NULL
references/actamerica/variables/C130/ROLL.json,ROLL,degs,1,-999999,1,ROLL,degs,1,-999999,NULL
references/actamerica/variables/C130/SF6_MoleFraction_PFP.json,SF6_CCGG_MoleFraction_PFP,ppt,1,-999999,1,SF6_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/SO2F2_MoleFraction_PFP.json,SO2F2_MoleFraction_PFP,ppt,1,-999999,1,SO2F2_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/SolarZenithAngle.json,SolarZenithAngle,degs,1,-999999,1,SolarZenithAngle,degs,1,-999999,NULL
references/actamerica/variables/C130/SunAzimuth.json,SunAzimuth,degs,1,-999999,1,SunAzimuth,degs,1,-999999,NULL
references/actamerica/variables/C130/SZA.json,SZA,deg,1,-999999,1,SZA,deg,1,-999999,NULL
references/actamerica/variables/C130/TAS.json,TAS,m/s,1,-999999,1,TAS,m/s,1,-999999,NULL
references/actamerica/variables/C130/TCE_MoleFraction_PFP.json,TCE_MoleFraction_PFP,ppt,1,-999999,1,TCE_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/TEMPERATURE.json,TEMPERATURE,K,1,-999999,1,TEMPERATURE,K,1,-999999,NULL
references/actamerica/variables/C130/THETA.json,THETA,K,1,-999999,1,THETA,K,1,-999999,NULL
references/actamerica/variables/C130/TOL_MoleFraction_PFP.json,TOL_MoleFraction_PFP,ppt,1,-999999,1,TOL_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/TotalAirTemp.json,TotalAirTemp,K,1,-999999,1,TotalAirTemp,K,1,-999999,NULL
references/actamerica/variables/C130/TRK.json,TRK,degs,1,-999999,1,TRK,degs,1,-999999,NULL
references/actamerica/variables/C130/UTC.json,UTC,s,1,-999999,1,time,seconds since {} 00:00:00 UTC,1,-999999,"{x}+2.5"
references/actamerica/variables/C130/VerticalSpeed.json,VerticalSpeed,m s-1,1,-999999,1,VerticalSpeed,m s-1,1,-999999,NULL
references/actamerica/variables/C130/Wind_Direction.json,WND,Degs,1,-999999,1,Wind_Direction,Degs,1,-999999,NULL
references/actamerica/variables/C130/Wind_Speed.json,WNS,m s-1,1,-999999,1,Wind_Speed,m s-1,1,-999999,NULL
