VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
references/actamerica/variables/B200/F236fa_MoleFraction_PFP.json,F236fa_MoleFraction_PFP,ppt,1,-999999,1,F236fa_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/F32_MoleFraction_PFP.json,F32_MoleFraction_PFP,ppt,1,-999999,1,F32_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/F365m_MoleFraction_PFP.json,F365m_MoleFraction_PFP,ppt,1,-999999,1,F365m_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/FC12_MoleFraction_PFP.json,FC12_MoleFraction_PFP,ppt,1,-999999,1,FC12_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/Flight_ID.json,FLIGHT,none,1,-999999,1,Flight_ID,none,1,-999999,NULL
references/actamerica/variables/B200/GPS_ALT.json,GPS_ALT,km,1,-999999,1,GPS_ALT,m,1000,-999999,NULL
references/actamerica/variables/B200/GRD_SPD.json,GRD_SPD,m/s,1,-999999,1,GRD_SPD,m/s,1,-999999,NULL
references/actamerica/variables/B200/Ground_Elevation.json,Ground_Elevation,km,1,-999999,1,Ground_Elevation,km,1,-999999,NULL
references/actamerica/variables/B200/GroundElevation-AMSL_GoogleMaps.json,GroundElevation-AMSL_GoogleMaps,km,1,-999999,1,GroundElevation-AMSL_GoogleMaps,km,1,-999999,NULL
references/actamerica/variables/B200/H1211_MoleFraction_PFP.json,H1211_MoleFraction_PFP,ppt,1,-999999,1,H1211_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/H1301_MoleFraction_PFP.json,H1301_MoleFraction_PFP,ppt,1,-999999,1,H1301_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/H2_MoleFraction_PFP.json,H2_MoleFraction_PFP,ppb,1,-999999,1,H2_MoleFraction_PFP,ppb,1,-999999,NULL
references/actamerica/variables/B200/H2402_MoleFraction_PFP.json,H2402_MoleFraction_PFP,ppt,1,-999999,1,H2402_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/H2O_MixingRatio_Nav.json,H2O_MixingRatio,g kg-1,1,-999999,1,H2O_MixingRatio_Nav,g kg-1,1,-999999,NULL
references/actamerica/variables/B200/H2O_MixingRatio_Nav.json,H2O_MixingRatio_Nav,g kg-1,1,-999999,1,H2O_MixingRatio_Nav,g kg-1,1,-999999,NULL
references/actamerica/variables/B200/H2O_RelativeHumidity_Nav.json,H2O_RelativeHumidity,%,1,-999999,1,H2O_RelativeHumidity_Nav,%,1,-999999,NULL
references/actamerica/variables/B200/H2O_RelativeHumidity_Nav.json,H2O_RelativeHumidity_Nav,%,1,-999999,1,H2O_RelativeHumidity_Nav,%,1,-999999,NULL
references/actamerica/variables/B200/H2O_SatVaporPressureIce_Nav.json,H2O_SatVaporPressureIce,hPa,1,-999999,1,H2O_SatVaporPressureIce_Nav,hPa,1,-999999,NULL
references/actamerica/variables/B200/H2O_SatVaporPressureIce_Nav.json,H2O_SatVaporPressureIce_Nav,hPa,1,-999999,1,H2O_SatVaporPressureIce_Nav,hPa,1,-999999,NULL
references/actamerica/variables/B200/H2O_SatVaporPressureWater_Nav.json,H2O_SatVaporPressureWater,hPa,1,-999999,1,H2O_SatVaporPressureWater_Nav,hPa,1,-999999,NULL
references/actamerica/variables/B200/H2O_SatVaporPressureWater_Nav.json,H2O_SatVaporPressureWater_Nav,hPa,1,-999999,1,H2O_SatVaporPressureWater_Nav,hPa,1,-999999,NULL
references/actamerica/variables/B200/H2O_VaporPressure_Nav.json,H2O_VaporPressure,hPa,1,-999999,1,H2O_VaporPressure_Nav,hPa,1,-999999,NULL
references/actamerica/variables/B200/H2O_VaporPressure_Nav.json,H2O_VaporPressure_Nav,hPa,1,-999999,1,H2O_VaporPressure_Nav,hPa,1,-999999,NULL
references/actamerica/variables/B200/HDG.json,HDG,degs,1,-999999,1,HDG,degs,1,-999999,NULL
references/actamerica/variables/B200/HF133a_MoleFraction_PFP.json,HF133a_MoleFraction_PFP,ppt,1,-999999,1,HF133a_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/HF22_MoleFraction_PFP.json,HF22_MoleFraction_PFP,ppt,1,-999999,1,HF22_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/IAS.json,IAS,m/s,1,-999999,1,IAS,m/s,1,-999999,NULL
references/actamerica/variables/B200/iC4H10_MoleFraction_PFP.json,iC4H10_MoleFraction_PFP,ppt,1,-999999,1,iC4H10_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/iC5H12_MoleFraction_PFP.json,iC5H12_MoleFraction_PFP,ppt,1,-999999,1,iC5H12_MoleFraction_PFP,ppt,1,-999999,NULL
,INDEX,none,1,-999999,1,,none,1,-999999,NULL
references/actamerica/variables/B200/JDAY.json,JDAY,days,1,-999999,1,JDAY,days,1,-999999,NULL
references/actamerica/variables/B200/LATITUDE.json,LATITUDE,degs,1,-999999,1,LATITUDE,degs,1,-999999,NULL
references/actamerica/variables/B200/LOCAL_SUN_TIME.json,LOCAL_SUN_TIME,hour,1,-999999,1,LOCAL_SUN_TIME,hour,1,-999999,NULL
references/actamerica/variables/B200/LONGITUDE.json,LONGITUDE,degs,1,-999999,1,LONGITUDE,degs,1,-999999,NULL
references/actamerica/variables/B200/MachNumber.json,MachNumber,mach,1,-999999,1,MachNumber,mach,1,-999999,NULL
references/actamerica/variables/B200/ManeuverFlag.json,ManeuverFlag,none,1,-999999,1,ManeuverFlag,none,1,-999999,NULL
references/actamerica/variables/B200/MCFA_MoleFraction_PFP.json,MCFA_MoleFraction_PFP,ppt,1,-999999,1,MCFA_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/MEBR_MoleFraction_PFP.json,MEBR_MoleFraction_PFP,ppt,1,-999999,1,MEBR_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/MECL_MoleFraction_PFP.json,MECL_MoleFraction_PFP,ppt,1,-999999,1,MECL_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/N2O_MoleFraction_PFP.json,N2O_MoleFraction_PFP,ppb,1,-999999,1,N2O_MoleFraction_PFP,ppb,1,-999999,NULL
references/actamerica/variables/B200/nC4H10_MoleFraction_PFP.json,nC4H10_MoleFraction_PFP,ppt,1,-999999,1,nC4H10_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/nC5H12_MoleFraction_PFP.json,nC5H12_MoleFraction_PFP,ppt,1,-999999,1,nC5H12_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/nC6H14_MoleFraction_PFP.json,nC6H14_MoleFraction_PFP,ppt,1,-999999,1,nC6H14_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/O3_MixingRatio.json,O3_MixingRatio,ppbv,1,-999999,1,O3_MixingRatio,ppbv,1,-999999,NULL
references/actamerica/variables/B200/O3_MoleFraction.json,O3_MoleFraction,ppb,1,-999999,1,O3_MixingRatio,ppb,1,-999999,NULL
references/actamerica/variables/B200/O3COLUMN.json,O3COLUMN,DU,1,-999999,1,O3COLUMN,DU,1,-999999,NULL
references/actamerica/variables/B200/OCS_MoleFraction_PFP.json,OCS_MoleFraction_PFP,ppt,1,-999999,1,OCS_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/P218_MoleFraction_PFP.json,P218_MoleFraction_PFP,ppt,1,-999999,1,P218_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/PCE_MoleFraction_PFP.json,PCE_MoleFraction_PFP,ppt,1,-999999,1,PCE_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/PITCH.json,PITCH,degs,1,-999999,1,PITCH,degs,1,-999999,NULL
references/actamerica/variables/B200/PotentialTemp_Nav.json,PotentialTemp,K,1,-999999,1,PotentialTemp_Nav,K,1,-999999,NULL
references/actamerica/variables/B200/PotentialTemp_Nav.json,PotentialTemp_Nav,K,1,-999999,1,PotentialTemp_Nav,K,1,-999999,NULL
references/actamerica/variables/B200/PRESSURE.json,PRESSURE,hPa,1,-999999,1,PRESSURE,hPa,1,-999999,NULL
references/actamerica/variables/B200/ROLL.json,ROLL,degs,1,-999999,1,ROLL,degs,1,-999999,NULL
references/actamerica/variables/B200/SF6_MoleFraction_PFP.json,SF6_CCGG_MoleFraction_PFP,ppt,1,-999999,1,SF6_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/SF6_MoleFraction_PFP.json,SF6_MoleFraction_PFP,ppt,1,-999999,1,SF6_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/SO2F2_MoleFraction_PFP.json,SO2F2_MoleFraction_PFP,ppt,1,-999999,1,SO2F2_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/SolarZenithAngle.json,SolarZenithAngle,degs,1,-999999,1,SolarZenithAngle,degs,1,-999999,NULL
references/actamerica/variables/B200/StaticPressure.json,StaticPressure,hPa,1,-999999,1,StaticPressure,hPa,1,-999999,NULL
references/actamerica/variables/B200/SunAzimuth.json,SunAzimuth,degs,1,-999999,1,SunAzimuth,degs,1,-999999,NULL
references/actamerica/variables/B200/SZA.json,SZA,deg,1,-999999,1,SZA,deg,1,-999999,NULL
references/actamerica/variables/B200/TAS.json,TAS,m/s,1,-999999,1,TAS,m/s,1,-999999,NULL
references/actamerica/variables/B200/TCE_MoleFraction_PFP.json,TCE_MoleFraction_PFP,ppt,1,-999999,1,TCE_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/TEMPERATURE.json,TEMPERATURE,K,1,-999999,1,TEMPERATURE,K,1,-999999,NULL
references/actamerica/variables/B200/THETA.json,THETA,K,1,-999999,1,THETA,K,1,-999999,NULL
references/actamerica/variables/B200/TOL_MoleFraction_PFP.json,TOL_MoleFraction_PFP,ppt,1,-999999,1,TOL_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/B200/TotalAirTemp.json,TotalAirTemp,K,1,-999999,1,TotalAirTemp,K,1,-999999,NULL
references/actamerica/variables/B200/TRK.json,TRK,degs,1,-999999,1,TRK,degs,1,-999999,NULL
references/actamerica/variables/B200/u_wind.json,U_WINDS,m s-1,1,-999999,1,U_WINDS,m s-1,1,-999999,NULL
references/actamerica/variables/B200/UTC.json,UTC,s,1,nan,1,time,s,1,nan,NULL
references/actamerica/variables/B200/v_wind.json,V_WINDS,m s-1,1,-999999,1,V_WINDS,m s-1,1,-999999,NULL
references/actamerica/variables/B200/VerticalSpeed.json,VerticalSpeed,ft min-1,1,-999999,1,VerticalSpeed,ft min-1,1,-999999,NULL
references/actamerica/variables/B200/Wind_Direction.json,WND,Degs,1,-999999,1,Wind_Direction,Degs,1,-999999,NULL
references/actamerica/variables/B200/Wind_Speed.json,WNS,m/s,1,-999999,1,Wind_Speed,m/s,1,-999999,NULL
