VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
NULL,P218_MoleFraction_PFP,ppt,1.0,-999999.0,1,P218_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H2O_SatVaporPressureIce_Nav,hPa,1.0,-999999.0,1,H2O_SatVaporPressureIce_Nav,hPa,1.0,-999999.0,NULL
NULL,AircraftSunAzimuth,degs,1.0,-999999.0,1,AircraftSunAzimuth,degs,1.0,-999999.0,NULL
NULL,HF22_MoleFraction_PFP,ppt,1.0,-999999.0,1,HF22_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,O3COLUMN,DU,1.0,-999999.0,1,O3COLUMN,DU,1.0,-999999.0,NULL
NULL,CH4_DryMoleFrac_PICARRO,ppm,1.0,-999999.0,1,CH4_DryMoleFrac_PICARRO,ppm,1.0,-999999.0,NULL
NULL,MachNumber,mach,1.0,-999999.0,1,MachNumber,mach,1.0,-999999.0,NULL
NULL,OCS_MoleFraction_PFP,ppt,1.0,-999999.0,1,OCS_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,F236fa_MoleFraction_PFP,ppt,1.0,-999999.0,1,F236fa_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H2O_VaporPressure,hPa,1.0,-999999.0,1,H2O_VaporPressure,hPa,1.0,-999999.0,NULL
NULL,FLIGHT,none,1.0,-999999.0,1,FLIGHT,none,1.0,-999999.0,NULL
NULL,Dewpoint_Nav,K,1.0,-999999.0,1,Dewpoint_Nav,K,1.0,-999999.0,NULL
NULL,H2_MoleFraction_PFP,ppb,1.0,-999999.0,1,H2_MoleFraction_PFP,ppb,1.0,-999999.0,NULL
NULL,CH3I_MoleFraction_PFP,ppt,1.0,-999999.0,1,CH3I_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,AircraftSunElevation,degs,1.0,-999999.0,1,AircraftSunElevation,degs,1.0,-999999.0,NULL
